P_load1_MW,Q_load1_MVAr,P_load2_MW,Q_load2_MVAr,P_load4_MW,Q_load4_MVAr,P_solar_MW,Q_solar_MVAr,Vm_bus1_pu,Vm_bus2_pu,Vm_bus3_pu,Vm_bus4_pu,Va_bus1_deg,Va_bus2_deg,Va_bus3_deg,Va_bus4_deg,split
1.4492145,0.48307148,1.8917334,0.6621067,1.1615989,0.3484797,1.0210271,-0.21583562,0.99401563,0.98975974,0.9910481,0.98682195,0.10692947,0.20662107,0.23193142,0.23190512,train
1.250621,0.41687363,2.0998695,0.7349543,1.0512913,0.3153874,0.41954473,-0.18553677,0.9932057,0.987578,0.9880937,0.98491454,0.09580473,0.18672822,0.20402823,0.20945723,train
1.5431188,0.51437294,2.313904,0.8098664,0.84614354,0.25384307,1.306575,-0.2905791,0.9941222,0.9901849,0.9918293,0.9880492,0.12264719,0.23920004,0.27284274,0.2568422,train
1.4528675,0.48428917,2.1038084,0.73633295,1.08182,0.324546,0.6259247,0.07219845,0.9931986,0.9879703,0.98879695,0.9852302,0.07879055,0.14437105,0.14425077,0.16782057,train
1.5965394,0.5321798,1.618127,0.56634444,0.8245783,0.24737348,1.4135115,-0.09645659,0.99547344,0.99325895,0.9950685,0.9911845,0.092254765,0.17056404,0.19056809,0.18756293,train
1.296995,0.43233168,1.9084042,0.66794145,1.1051081,0.33153242,0.5031704,0.11767996,0.9935676,0.9884653,0.98914,0.9856674,0.06650686,0.12072942,0.11599239,0.14471726,train
1.792856,0.5976187,2.1003208,0.7351123,1.093341,0.3280023,0.8317952,0.26136628,0.9929862,0.988191,0.9893161,0.98542225,0.07028671,0.117716394,0.10536318,0.14143366,train
1.5993534,0.53311783,1.7607577,0.6162652,0.8114868,0.24344602,0.36047205,0.12967426,0.9935804,0.98910457,0.9895958,0.9870545,0.06173175,0.103198685,0.0961781,0.12004747,train
1.3234345,0.44114482,2.368975,0.8291412,1.1696862,0.35090587,1.3566537,0.28318304,0.99405384,0.9895875,0.9913937,0.9866286,0.07227452,0.1328405,0.12397964,0.15833004,train
1.4143041,0.47143474,1.6129035,0.5645162,0.9148709,0.27446127,0.3999437,0.16327892,0.99404263,0.98974574,0.9902934,0.9874347,0.05417635,0.090709746,0.08155826,0.11003011,train
